R,S,X_shape,Z_shape,a_eval_mode,a_eval_num_points,bandwidth_config,best_signal_h,best_variance_h,beta_hat_shape,elapsed_seconds,eligible_signal_h,feature_dir,finished_at_utc,image_type,n_pairs,output_dir,p0,rho_hat,ridge,run_name,sigma2_hat_mean,signal_cv_score,started_at_utc,status,t_shape,task_id,variance_cv_score,variance_h_candidates,y_shape,result_json
3,6x6x1,"[273, 2, 3, 36]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.3187289237976074,[],src/experiments/grape/data/features/cfp_192_iop_le35/S6x6x1_R3,2026-06-17T05:55:47.886217+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0015,60,,0.0,v1_adaptive_support,,,2026-06-17T05:55:47.567495+00:00,no_eligible_signal_bandwidth,[273],15,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0015/result.json
4,6x6x1,"[273, 2, 4, 36]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.3501269379630685,[],src/experiments/grape/data/features/cfp_192_iop_le35/S6x6x1_R4,2026-06-17T05:56:32.381677+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0016,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:32.031559+00:00,no_eligible_signal_bandwidth,[273],16,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0016/result.json
2,8x8x1,"[273, 2, 2, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.20503929420374334,[],src/experiments/grape/data/features/cfp_192_iop_le35/S8x8x1_R2,2026-06-17T05:56:07.392653+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0018,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:07.187617+00:00,no_eligible_signal_bandwidth,[273],18,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0018/result.json
3,8x8x1,"[273, 2, 3, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.4539532538037747,[],src/experiments/grape/data/features/cfp_192_iop_le35/S8x8x1_R3,2026-06-17T05:56:07.641382+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0019,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:07.187431+00:00,no_eligible_signal_bandwidth,[273],19,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0019/result.json
4,8x8x1,"[273, 2, 4, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.32184260501526296,[],src/experiments/grape/data/features/cfp_192_iop_le35/S8x8x1_R4,2026-06-17T05:55:47.888079+00:00,cfp,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0020,60,,0.0,v1_adaptive_support,,,2026-06-17T05:55:47.566237+00:00,no_eligible_signal_bandwidth,[273],20,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0020/result.json
3,6x6x1,"[273, 2, 3, 36]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.3615686509292573,[],src/experiments/grape/data/features/roi_192_iop_le35/S6x6x1_R3,2026-06-17T05:55:26.548966+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0035,60,,0.0,v1_adaptive_support,,,2026-06-17T05:55:26.187400+00:00,no_eligible_signal_bandwidth,[273],35,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0035/result.json
4,6x6x1,"[273, 2, 4, 36]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.34423803095705807,[],src/experiments/grape/data/features/roi_192_iop_le35/S6x6x1_R4,2026-06-17T05:56:32.375590+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0036,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:32.031356+00:00,no_eligible_signal_bandwidth,[273],36,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0036/result.json
2,8x8x1,"[273, 2, 2, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.48831433430314064,[],src/experiments/grape/data/features/roi_192_iop_le35/S8x8x1_R2,2026-06-17T05:56:11.116998+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0038,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:10.628687+00:00,no_eligible_signal_bandwidth,[273],38,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0038/result.json
3,8x8x1,"[273, 2, 3, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.47037985594943166,[],src/experiments/grape/data/features/roi_192_iop_le35/S8x8x1_R3,2026-06-17T05:56:11.098997+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0039,60,,0.0,v1_adaptive_support,,,2026-06-17T05:56:10.628616+00:00,no_eligible_signal_bandwidth,[273],39,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0039/result.json
4,8x8x1,"[273, 2, 4, 64]","[273, 60]",anchor_grid,80,src/experiments/grape/configs/bandwidth_grids/v1_adaptive_support.json,,,,0.6348722490947694,[],src/experiments/grape/data/features/roi_192_iop_le35/S8x8x1_R4,2026-06-17T05:55:26.820136+00:00,roi,273,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0040,60,,0.0,v1_adaptive_support,,,2026-06-17T05:55:26.185270+00:00,no_eligible_signal_bandwidth,[273],40,,"[0.2, 0.25, 0.3, 0.4, 0.5, 0.6, 0.7]","[273, 2]",/home/svu/e0829076/2026-tensor/src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0040/result.json
